name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
Toko Bangunan Jakarta Pusat Terlengkap - Mitra10 Percetakan Negara,"Blok 36C, Jl. Percetakan Negara, Rawasari, Kec. Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",mitra10.com,0878-0002-1010,4683.0,4.4,-6.1892838,106.7179931
AA Gudang Bangunan,"Jl. Raya Condet No.1A 1B, RT.5/RW.3, Balekambang, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13530",,(021) 29373665,68.0,4.5,-6.1892838,106.7179931
"RumahPlus Condet , Toko Cat, Toko Bangunan, Hardware Tools Listrik, Plumbing","Jl. Raya Tengah No.61, RT.4/RW.9, Kp. Tengah, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13540",tokopedia.com,0811-956-062,160.0,4.5,-6.1892838,106.7179931
Toko Bangunan Jakarta Selatan Terlengkap - Mitra10 Fatmawati,"Jl. RS. Fatmawati Raya No.15 H, RT.1/RW.7, Gandaria Utara, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12140",mitra10.com,0878-0002-1010,2306.0,4.3,-6.2617416,106.6521765
T.B. Megah Baru,"13, Jl. Raya Ragunan No.185, RT.13/RW.3, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520",,0852-1611-2299,81.0,4.6,-6.2617416,106.6521765
Depo Bangunan Kalimalang,"Jl. Raya Kalimalang No.46, Duren Sawit, Kec. Duren Sawit, Timur, Daerah Khusus Ibukota Jakarta 13440",depobangunan.co.id,0813-1675-0191,3609.0,4.4,-6.2474768,106.7765034
Toko Bangunan Jakarta Barat Terlengkap - Mitra10 Pesanggrahan,"Jl. Pesanggrahan No.1, Meruya Utara, Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11620",mitra10.com,0878-0002-1010,2223.0,4.4,-6.1960817,106.6121269
"Jl. Gongseng Raya No.6, Kel. Baru, Jakarta Timur","Jl. Gongseng Raya No.7, RT.6/RW.9, Baru, Kec. Ps. Rebo, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13780",,0821-1732-9562,42.0,4.4,-6.3265737,106.7111038
Toko Sentosa Jaya,"Jl. Raya Rw. Bambu No.12, RT.13/RW.5, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520",,,6.0,4.3,-6.3265737,106.7111038
Toko Bangunan Jakarta Timur Terlengkap - Mitra10 Pondok Bambu,"Jl. Pahlawan Revolusi No.10, Pd. Bambu, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13430",mitra10.com,(021) 29194738,679.0,4.7,-6.3265737,106.7111038
Toko Bangunan Hari-hari,"Jl. Mandala Utara No.21 17, RT.7/RW.4, Tomang, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11440",,0811-1705-143,360.0,4.6,-6.1720367,106.6542488
MAKMUR BANGUNAN,"Jl. Percetakan Negara No.66D, Johar Baru, Kec. Johar Baru, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10560",tokopedia.com,0878-8570-9000,219.0,4.8,-6.1720367,106.6542488
TB. Ampar Jaya,"Jl. Batu Ampar 3 No.5A, RT.12/RW.2, Batu Ampar, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13520",,0852-1922-0058,314.0,4.8,-6.1720367,106.6542488
Toko Bangunan Alam Makmur,"Jl. H. Nawi Raya No.23, RT.7/RW.7, Gandaria Utara, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12140",,(021) 7250363,81.0,4.6,-6.1720367,106.6542488
