name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude,map_url
"Igor's Pastry | Bakery, Pastry & Oleh-Oleh Surabaya - Biliton","Jl. Biliton No.55, Gubeng, Kec. Gubeng, Surabaya, Jawa Timur 60281",igors-pastry.com,(031) 5038342,2732,4.6,-7.2753996,112.6606616,"https://www.google.com/maps/place/Igor's+Pastry+%7C+Bakery,+Pastry+%26+Oleh-Oleh+Surabaya+-+Biliton/@-7.2753996,112.6606616,12z/data=!4m11!1m3!2m2!1stoko+kue+surabaya!6e5!3m6!1s0x2dd7fbdb02c5452f:0x65a8384da12bb981!8m2!3d-7.2747479!4d112.7498068!15sChF0b2tvIGt1ZSBzdXJhYmF5YVoTIhF0b2tvIGt1ZSBzdXJhYmF5YZIBBmJha2VyeeABAA!16s%2Fg%2F1hc9spn9y?entry=ttu&g_ep=EgoyMDI1MDEyOS4xIKXMDSoASAFQAw%3D%3D"
Tungga Dewi Cake,"Darmo Permai Timur VI No.18a, Sonokwijenan, Kec. Sukomanunggal, Surabaya, Jawa Timur 60189",instagram.com,(031) 99150044,392,4.9,-7.2821018,112.5524113,"https://www.google.com/maps/place/Tungga+Dewi+Cake/@-7.2821018,112.5524113,12z/data=!4m11!1m3!2m2!1stoko+kue+surabaya!6e5!3m6!1s0x2dd7fd7a56c4c01b:0x227c8975834cb7f!8m2!3d-7.2821018!4d112.6966069!15sChF0b2tvIGt1ZSBzdXJhYmF5YVoTIhF0b2tvIGt1ZSBzdXJhYmF5YZIBCWNha2Vfc2hvcOABAA!16s%2Fg%2F11h6rrkx56?entry=ttu&g_ep=EgoyMDI1MDEyOS4xIKXMDSoASAFQAw%3D%3D"
The Harvest Patissier & Chocolatier - Bengawan,"Jl. Bengawan No.39, Darmo, Kec. Wonokromo, Surabaya, Jawa Timur 60241",harvestcakes.com,(021) 1500581,2478,4.6,-7.2821018,112.5524113,"https://www.google.com/maps/place/The+Harvest+Patissier+%26+Chocolatier+-+Bengawan/@-7.2821018,112.5524113,12z/data=!4m11!1m3!2m2!1stoko+kue+surabaya!6e5!3m6!1s0x2dd7fb9440000001:0xcebbbfb8050024b!8m2!3d-7.2901214!4d112.7377761!15sChF0b2tvIGt1ZSBzdXJhYmF5YVoTIhF0b2tvIGt1ZSBzdXJhYmF5YZIBCWNha2Vfc2hvcOABAA!16s%2Fg%2F1td5cjn3?entry=ttu&g_ep=EgoyMDI1MDEyOS4xIKXMDSoASAFQAw%3D%3D"
Holland Bakery - Kertajaya,"Jl. Kertajaya No.63, Airlangga, Kec. Gubeng, Surabaya, Jawa Timur 60286",,(031) 5039020,3023,4.6,-7.2821018,112.5524113,"https://www.google.com/maps/place/Holland+Bakery+-+Kertajaya/@-7.2821018,112.5524113,12z/data=!4m11!1m3!2m2!1stoko+kue+surabaya!6e5!3m6!1s0x2dd7fbd1dcc9f23f:0x788b9c9e314cfca9!8m2!3d-7.2776055!4d112.7540147!15sChF0b2tvIGt1ZSBzdXJhYmF5YVoTIhF0b2tvIGt1ZSBzdXJhYmF5YZIBBmJha2VyeeABAA!16s%2Fg%2F1tkgtlr1?entry=ttu&g_ep=EgoyMDI1MDEyOS4xIKXMDSoASAFQAw%3D%3D"
Purimas 3 Cake & Bakery Surabaya,"Jl. Diponegoro No.15, II, Darmo, Kec. Wonokromo, Surabaya, Jawa Timur 60241",wa.me,0823-1600-0059,353,4.5,-7.2821018,112.5524113,"https://www.google.com/maps/place/Purimas+3+Cake+%26+Bakery+Surabaya/@-7.2821018,112.5524113,12z/data=!4m11!1m3!2m2!1stoko+kue+surabaya!6e5!3m6!1s0x2dd7fb963263b42f:0x9f51d3ef705a5311!8m2!3d-7.2946714!4d112.7380471!15sChF0b2tvIGt1ZSBzdXJhYmF5YVoTIhF0b2tvIGt1ZSBzdXJhYmF5YZIBBmJha2VyeeABAA!16s%2Fg%2F1hm304gck?entry=ttu&g_ep=EgoyMDI1MDEyOS4xIKXMDSoASAFQAw%3D%3D"
Majestyk,"Jl. Kapas Krampung No.93 003, RT.003/RW.04, Rangkah, Kec. Tambaksari, Surabaya, Jawa Timur 60135",,(031) 3722671,807,4.3,-7.2821018,112.5524113,"https://www.google.com/maps/place/Majestyk/@-7.2821018,112.5524113,12z/data=!4m11!1m3!2m2!1stoko+kue+surabaya!6e5!3m6!1s0x2dd7f99fc0000001:0xdf57da98dad4858e!8m2!3d-7.2499399!4d112.7642364!15sChF0b2tvIGt1ZSBzdXJhYmF5YVoTIhF0b2tvIGt1ZSBzdXJhYmF5YZIBBmJha2VyeeABAA!16s%2Fg%2F1pp2tld2x?entry=ttu&g_ep=EgoyMDI1MDEyOS4xIKXMDSoASAFQAw%3D%3D"
Bon Ami Bakery Manyar Kertoarjo,"Jl. Manyar Kertoarjo V No.17, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285",bonami.co.id,0811-3117-8801,970,4.7,-7.2821018,112.5524113,"https://www.google.com/maps/place/Bon+Ami+Bakery+Manyar+Kertoarjo/@-7.2821018,112.5524113,12z/data=!4m11!1m3!2m2!1stoko+kue+surabaya!6e5!3m6!1s0x2dd7fa2cffffffff:0x80b1d225c2f72b58!8m2!3d-7.2776369!4d112.7659601!15sChF0b2tvIGt1ZSBzdXJhYmF5YVoTIhF0b2tvIGt1ZSBzdXJhYmF5YZIBBmJha2VyeeABAA!16s%2Fg%2F1wb44mjt?entry=ttu&g_ep=EgoyMDI1MDEyOS4xIKXMDSoASAFQAw%3D%3D"
Suzana Bakery,"Jl. Dinoyo No.146 - 148, Keputran, Kec. Tegalsari, Surabaya, Jawa Timur 60265",,(031) 5619809,4069,4.5,-7.2821018,112.5524113,"https://www.google.com/maps/place/Suzana+Bakery/@-7.2821018,112.5524113,12z/data=!4m11!1m3!2m2!1stoko+kue+surabaya!6e5!3m6!1s0x2dd7fbbf5b1392c9:0x78dc409f5a3561e1!8m2!3d-7.2875727!4d112.744173!15sChF0b2tvIGt1ZSBzdXJhYmF5YVoTIhF0b2tvIGt1ZSBzdXJhYmF5YZIBBmJha2VyeeABAA!16s%2Fg%2F1ptvvhfrg?entry=ttu&g_ep=EgoyMDI1MDEyOS4xIKXMDSoASAFQAw%3D%3D"
Nisha Cake Surabaya,"Dukuh Kupang, Kec. Sawahan, Surabaya, Jawa Timur 60255",,0896-1641-4890,37,4.8,-7.2821018,112.5524113,"https://www.google.com/maps/place/Nisha+Cake+Surabaya/@-7.2821018,112.5524113,12z/data=!4m11!1m3!2m2!1stoko+kue+surabaya!6e5!3m6!1s0x2dd7fd84783832fb:0x2a98298b15ae58ed!8m2!3d-7.2769004!4d112.7116133!15sChF0b2tvIGt1ZSBzdXJhYmF5YVoTIhF0b2tvIGt1ZSBzdXJhYmF5YZIBCWNha2Vfc2hvcOABAA!16s%2Fg%2F11hdy7jy76?entry=ttu&g_ep=EgoyMDI1MDEyOS4xIKXMDSoASAFQAw%3D%3D"
Surabaya Kue,"Merr Square City, Ruko No.2H, Penjaringan Sari, Kec. Rungkut, Surabaya, Jawa Timur 60293",,0859-3131-9252,89,4.7,-7.3230681,112.6365341,"https://www.google.com/maps/place/Surabaya+Kue/@-7.3230681,112.6365341,12z/data=!4m11!1m3!2m2!1stoko+kue+surabaya!6e5!3m6!1s0x2dd7faebd7fa59af:0x324bc106e2f3f7d6!8m2!3d-7.3230681!4d112.7807297!15sChF0b2tvIGt1ZSBzdXJhYmF5YVoTIhF0b2tvIGt1ZSBzdXJhYmF5YZIBBmJha2VyeeABAA!16s%2Fg%2F11bc7s99_9?entry=ttu&g_ep=EgoyMDI1MDEyOS4xIKXMDSoASAFQAw%3D%3D"
